amount,oldbalanceOrg,hour,transaction_type,newbalanceOrig,isFraud
83295,158757,12,PAYMENT,75462,0
91802,113855,20,CASH_OUT,22053,0
57864,156650,20,CASH_OUT,98786,0
40272,160903,17,TRANSFER,120631,0
37090,8906,4,TRANSFER,-28184,1
1334,62413,12,PAYMENT,61079,0
91277,55028,3,PAYMENT,-36249,1
35919,8287,16,PAYMENT,-27632,1
89349,34660,2,PAYMENT,-54689,1
19880,61504,16,CASH_OUT,41624,0
34588,191792,10,CASH_OUT,157204,0
72134,103979,20,TRANSFER,31845,1
26800,35701,19,PAYMENT,8901,0
25299,84300,22,PAYMENT,59001,0
55139,149746,20,TRANSFER,94607,1
93724,84560,3,PAYMENT,-9164,1
94256,155946,1,PAYMENT,61690,1
15495,44642,19,PAYMENT,29147,0
44492,66160,15,PAYMENT,21668,0
86198,18602,17,PAYMENT,-67596,1
4758,104320,7,TRANSFER,99562,0
86779,89801,2,PAYMENT,3022,1
9445,26931,8,TRANSFER,17486,0
3719,95377,19,PAYMENT,91658,0
30365,30192,5,CASH_OUT,-173,1
55781,47542,9,CASH_OUT,-8239,1
57809,128015,20,CASH_OUT,70206,0
13126,43520,9,CASH_OUT,30394,0
25480,65772,12,TRANSFER,40292,0
42354,190834,16,TRANSFER,148480,0
42928,51106,8,PAYMENT,8178,0
52234,82121,16,CASH_OUT,29887,0
39308,26559,23,TRANSFER,-12749,1
80229,106595,8,PAYMENT,26366,0
61639,34742,8,PAYMENT,-26897,1
66050,70669,0,TRANSFER,4619,1
99528,153826,1,CASH_OUT,54298,1
99845,136044,15,PAYMENT,36199,0
28026,71831,0,CASH_OUT,43805,0
23970,113217,9,CASH_OUT,89247,0
33601,42873,17,CASH_OUT,9272,0
82858,107532,7,PAYMENT,24674,0
67651,127267,20,CASH_OUT,59616,0
36405,141975,10,PAYMENT,105570,0
22710,135092,22,CASH_OUT,112382,0
34630,42755,1,PAYMENT,8125,1
20569,86956,7,CASH_OUT,66387,0
93055,87988,21,TRANSFER,-5067,1
93406,46648,7,CASH_OUT,-46758,1
61652,126991,16,CASH_OUT,65339,0
76549,141588,14,PAYMENT,65039,0
21742,116005,16,PAYMENT,94263,0
91372,3396,22,CASH_OUT,-87976,1
30364,85082,23,TRANSFER,54718,0
13853,151201,12,TRANSFER,137348,0
71736,129322,18,PAYMENT,57586,0
17650,133663,4,TRANSFER,116013,0
52538,12303,11,CASH_OUT,-40235,1
38423,162633,0,PAYMENT,124210,1
52648,72719,22,CASH_OUT,20071,0
52746,100616,4,PAYMENT,47870,1
68876,125165,7,PAYMENT,56289,0
19097,87231,12,PAYMENT,68134,0
41440,8314,7,PAYMENT,-33126,1
24514,20623,22,TRANSFER,-3891,1
7124,199747,10,CASH_OUT,192623,0
78869,197154,0,CASH_OUT,118285,1
99667,106228,12,CASH_OUT,6561,0
10985,165202,18,PAYMENT,154217,0
11033,183828,23,TRANSFER,172795,0
21457,98624,2,CASH_OUT,77167,0
90479,158364,23,TRANSFER,67885,1
23969,112785,16,PAYMENT,88816,0
66213,87206,4,CASH_OUT,20993,1
29713,70274,19,TRANSFER,40561,0
9347,134541,20,PAYMENT,125194,0
46437,54947,7,TRANSFER,8510,0
61539,154606,13,CASH_OUT,93067,0
84675,195692,3,CASH_OUT,111017,1
31931,49874,10,PAYMENT,17943,0
33317,50708,19,PAYMENT,17391,0
27365,75553,14,PAYMENT,48188,0
4845,69344,18,TRANSFER,64499,0
20169,50138,6,TRANSFER,29969,0
47615,186374,18,TRANSFER,138759,0
38098,48638,18,PAYMENT,10540,0
78762,79249,10,CASH_OUT,487,0
55294,106865,4,CASH_OUT,51571,1
57053,3719,4,TRANSFER,-53334,1
35557,154962,21,TRANSFER,119405,0
97017,168581,7,CASH_OUT,71564,0
82854,43534,9,CASH_OUT,-39320,1
27542,93241,5,TRANSFER,65699,0
34359,150859,14,TRANSFER,116500,0
45455,127209,15,CASH_OUT,81754,0
5723,180917,16,PAYMENT,175194,0
56188,190004,7,TRANSFER,133816,1
49417,93124,7,CASH_OUT,43707,0
70350,92659,8,CASH_OUT,22309,0
51000,165134,1,CASH_OUT,114134,1
75682,76713,14,CASH_OUT,1031,0
65555,192533,17,PAYMENT,126978,0
84801,76418,2,CASH_OUT,-8383,1
58151,198744,16,TRANSFER,140593,1
23803,129232,3,PAYMENT,105429,0
56580,166904,3,CASH_OUT,110324,1
95094,164038,13,PAYMENT,68944,0
37902,145059,8,TRANSFER,107157,0
1025,169383,8,CASH_OUT,168358,0
61823,32575,22,TRANSFER,-29248,1
27722,64852,17,CASH_OUT,37130,0
8425,133079,9,CASH_OUT,124654,0
62302,77242,20,CASH_OUT,14940,0
23843,179589,3,CASH_OUT,155746,0
4168,30257,11,CASH_OUT,26089,0
62690,174279,7,PAYMENT,111589,0
20319,145353,1,CASH_OUT,125034,0
6980,62246,21,CASH_OUT,55266,0
72484,2435,12,PAYMENT,-70049,1
86714,92357,20,PAYMENT,5643,0
46550,158732,15,PAYMENT,112182,0
20394,137156,1,PAYMENT,116762,0
18027,145579,10,PAYMENT,127552,0
75890,84807,9,PAYMENT,8917,0
8712,177611,14,CASH_OUT,168899,0
394,116953,16,CASH_OUT,116559,0
414,139563,7,TRANSFER,139149,0
40953,182264,17,CASH_OUT,141311,0
47936,124797,22,CASH_OUT,76861,0
29199,64888,8,PAYMENT,35689,0
12773,74609,7,PAYMENT,61836,0
18394,10077,13,CASH_OUT,-8317,1
60110,21953,17,TRANSFER,-38157,1
98152,115682,21,PAYMENT,17530,0
9870,68889,19,CASH_OUT,59019,0
80652,155893,19,CASH_OUT,75241,0
50622,169639,20,TRANSFER,119017,1
23584,116374,11,TRANSFER,92790,0
23534,25860,18,PAYMENT,2326,0
69182,153267,13,TRANSFER,84085,1
10926,78475,16,CASH_OUT,67549,0
4819,88266,23,CASH_OUT,83447,0
32211,153499,20,TRANSFER,121288,0
53340,101732,2,TRANSFER,48392,1
13466,28083,22,TRANSFER,14617,0
56407,58372,6,TRANSFER,1965,1
38775,124786,16,PAYMENT,86011,0
34826,176136,11,TRANSFER,141310,0
45116,8813,8,PAYMENT,-36303,1
53942,32598,14,CASH_OUT,-21344,1
17110,94106,17,TRANSFER,76996,0
57101,28082,20,PAYMENT,-29019,1
21959,30241,12,TRANSFER,8282,0
70090,176641,20,CASH_OUT,106551,0
37754,12745,7,CASH_OUT,-25009,1
45553,27029,13,CASH_OUT,-18524,1
92203,145097,7,TRANSFER,52894,1
36197,124395,13,TRANSFER,88198,0
7249,146360,6,PAYMENT,139111,0
14499,90186,22,CASH_OUT,75687,0
58027,138612,11,TRANSFER,80585,1
61887,98768,10,CASH_OUT,36881,0
43135,42846,21,CASH_OUT,-289,1
49932,76932,21,PAYMENT,27000,0
94084,149554,10,PAYMENT,55470,0
32059,24411,21,PAYMENT,-7648,1
37141,183047,12,PAYMENT,145906,0
42954,192617,17,CASH_OUT,149663,0
73973,79797,1,PAYMENT,5824,1
24295,53307,20,PAYMENT,29012,0
37636,135165,14,PAYMENT,97529,0
42818,23042,19,PAYMENT,-19776,1
88474,53930,17,CASH_OUT,-34544,1
53881,176485,14,PAYMENT,122604,0
19208,98883,18,CASH_OUT,79675,0
19768,34756,22,TRANSFER,14988,0
15264,54268,23,CASH_OUT,39004,0
44248,171286,11,CASH_OUT,127038,0
1262,160674,12,PAYMENT,159412,0
39774,185403,21,TRANSFER,145629,0
77719,49901,10,TRANSFER,-27818,1
37451,100986,4,TRANSFER,63535,1
92244,195488,0,TRANSFER,103244,1
53692,164268,23,CASH_OUT,110576,0
59504,129386,2,TRANSFER,69882,1
81327,6626,21,CASH_OUT,-74701,1
65225,139496,18,CASH_OUT,74271,0
78597,13857,22,CASH_OUT,-64740,1
6959,152054,6,TRANSFER,145095,0
55403,134052,11,PAYMENT,78649,0
73563,180362,14,PAYMENT,106799,0
6951,27431,4,TRANSFER,20480,0
25944,85976,14,PAYMENT,60032,0
23396,83711,7,PAYMENT,60315,0
61896,27385,9,CASH_OUT,-34511,1
75755,170230,15,CASH_OUT,94475,0
83261,155091,7,TRANSFER,71830,1
94466,19639,0,TRANSFER,-74827,1
53423,86530,11,PAYMENT,33107,0
56810,22563,4,CASH_OUT,-34247,1
97249,171413,2,TRANSFER,74164,1
42328,116672,0,TRANSFER,74344,1
70183,137848,3,TRANSFER,67665,1
70400,168516,7,TRANSFER,98116,1
52339,140783,2,TRANSFER,88444,1
43098,83970,9,TRANSFER,40872,0
39821,86553,1,PAYMENT,46732,1
55489,162779,10,CASH_OUT,107290,0
85402,171182,9,CASH_OUT,85780,0
87379,193860,20,TRANSFER,106481,1
19973,83879,13,CASH_OUT,63906,0
55133,170899,6,CASH_OUT,115766,0
92715,137727,1,CASH_OUT,45012,1
73487,45859,8,TRANSFER,-27628,1
14398,185697,15,TRANSFER,171299,0
5579,53098,12,CASH_OUT,47519,0
69846,147323,8,CASH_OUT,77477,0
36596,123413,19,TRANSFER,86817,0
12025,1526,3,PAYMENT,-10499,1
45012,69760,21,CASH_OUT,24748,0
6264,48837,9,PAYMENT,42573,0
17154,12536,21,CASH_OUT,-4618,1
24224,29541,11,PAYMENT,5317,0
80729,80083,16,PAYMENT,-646,1
71784,183099,13,PAYMENT,111315,0
6100,35531,13,TRANSFER,29431,0
11647,9712,1,PAYMENT,-1935,1
22425,105101,20,PAYMENT,82676,0
24081,66455,19,PAYMENT,42374,0
58253,75744,10,CASH_OUT,17491,0
41250,130749,15,PAYMENT,89499,0
83817,6109,18,CASH_OUT,-77708,1
33444,50268,22,PAYMENT,16824,0
69734,55615,5,PAYMENT,-14119,1
75707,83503,23,TRANSFER,7796,1
28742,161831,18,CASH_OUT,133089,0
11324,86708,4,PAYMENT,75384,0
23964,192184,3,CASH_OUT,168220,0
57118,103471,14,CASH_OUT,46353,0
87054,158661,3,TRANSFER,71607,1
87515,162087,19,TRANSFER,74572,1
36678,161081,9,TRANSFER,124403,0
23071,84309,23,TRANSFER,61238,0
79262,127446,21,TRANSFER,48184,1
39759,194118,2,TRANSFER,154359,1
16917,107661,4,TRANSFER,90744,0
18787,158215,5,TRANSFER,139428,0
93239,7154,20,PAYMENT,-86085,1
51755,153876,21,CASH_OUT,102121,0
91875,173760,7,TRANSFER,81885,1
81828,65288,6,TRANSFER,-16540,1
23634,52195,20,CASH_OUT,28561,0
23331,21581,9,PAYMENT,-1750,1
10498,184720,5,CASH_OUT,174222,0
22584,31087,13,CASH_OUT,8503,0
5250,182002,3,TRANSFER,176752,0
43231,165053,12,CASH_OUT,121822,0
10488,70298,19,CASH_OUT,59810,0
55655,47167,16,TRANSFER,-8488,1
19272,175480,22,TRANSFER,156208,0
52806,40499,6,TRANSFER,-12307,1
4442,126816,3,TRANSFER,122374,0
95267,184341,13,CASH_OUT,89074,0
64301,170631,2,CASH_OUT,106330,1
79114,97347,23,PAYMENT,18233,0
59409,49787,4,PAYMENT,-9622,1
79724,36488,15,CASH_OUT,-43236,1
50438,75441,22,PAYMENT,25003,0
87741,23431,19,CASH_OUT,-64310,1
312,62681,3,PAYMENT,62369,0
82568,195555,23,TRANSFER,112987,1
65,123720,23,PAYMENT,123655,0
8727,50153,1,TRANSFER,41426,0
28709,7368,17,TRANSFER,-21341,1
73696,159496,18,TRANSFER,85800,1
67671,113360,18,TRANSFER,45689,1
44257,177076,16,PAYMENT,132819,0
16758,113755,13,CASH_OUT,96997,0
4631,57985,18,TRANSFER,53354,0
15044,51069,21,PAYMENT,36025,0
5136,53326,23,TRANSFER,48190,0
5132,109737,12,PAYMENT,104605,0
18040,155470,11,PAYMENT,137430,0
82848,51861,5,PAYMENT,-30987,1
84727,76897,20,CASH_OUT,-7830,1
55668,128118,3,PAYMENT,72450,1
38648,69577,18,PAYMENT,30929,0
67077,197713,15,CASH_OUT,130636,0
88879,10078,12,CASH_OUT,-78801,1
34684,157075,3,PAYMENT,122391,1
35864,63768,22,CASH_OUT,27904,0
46281,52047,16,TRANSFER,5766,0
73698,72626,22,TRANSFER,-1072,1
38528,58660,0,CASH_OUT,20132,1
10277,181858,17,CASH_OUT,171581,0
90835,133997,19,PAYMENT,43162,0
1072,118832,16,CASH_OUT,117760,0
50458,131406,14,PAYMENT,80948,0
95472,126150,10,TRANSFER,30678,1
6239,158087,21,CASH_OUT,151848,0
56803,34320,12,PAYMENT,-22483,1
47925,65881,0,PAYMENT,17956,1
4642,91827,16,TRANSFER,87185,0
3606,103215,5,CASH_OUT,99609,0
6178,158361,3,TRANSFER,152183,0
7571,135461,19,PAYMENT,127890,0
73804,157755,15,PAYMENT,83951,0
82162,145701,14,CASH_OUT,63539,0
26744,62550,14,PAYMENT,35806,0
6381,25826,5,CASH_OUT,19445,0
26079,101734,14,TRANSFER,75655,0
79915,158702,13,CASH_OUT,78787,0
12920,178235,10,CASH_OUT,165315,0
73489,99511,6,PAYMENT,26022,0
77745,198507,8,PAYMENT,120762,0
81274,12653,15,CASH_OUT,-68621,1
23285,160033,4,PAYMENT,136748,0
72284,82941,19,PAYMENT,10657,0
81459,34662,9,PAYMENT,-46797,1
60014,99818,17,CASH_OUT,39804,0
62991,188518,2,PAYMENT,125527,1
84669,153360,12,CASH_OUT,68691,0
54563,96081,10,PAYMENT,41518,0
